ID,First,Second,Third,i,HYClass,gap1,gap2
7,95,202,298,1,0,107,96
11,95,263,440,2,0,168,177
13,95,203,310,3,0,108,107
18,95,287,450,4,0,192,163
19,95,221,347,5,0,126,126
21,95,238,634,6,0,143,396
24,95,215,405,7,0,120,190
27,95,222,342,8,0,127,120
29,95,216,361,9,0,121,145
30,95,303,510,10,0,208,207
33,95,261,416,11,0,166,155
35,95,246,444,12,0,151,198
37,95,247,447,13,0,152,200
38,95,274,450,14,0,179,176
39,95,246,401,15,0,151,155
41,95,306,785,16,0,211,479
42,95,291,483,17,0,196,192
43,95,646,880,18,0,551,234
44,95,249,423,19,0,154,174
45,95,276,423,20,0,181,147
48,95,250,396,21,0,155,146
50,95,293,456,22,0,198,163
52,95,228,346,23,0,133,118
55,95,220,388,24,0,125,168
58,95,251,390,25,0,156,139
59,95,245,398,26,0,150,153
61,95,231,359,27,0,136,128
63,95,230,426,28,0,135,196
65,95,230,365,29,0,135,135
67,95,205,344,30,0,110,139
73,95,264,375,31,0,169,111
76,95,201,360,32,0,106,159
79,95,198,288,33,0,103,90
80,95,207,295,34,0,112,88
82,95,198,284,35,0,103,86
83,95,212,314,36,0,117,102
84,95,303,407,37,0,208,104
85,95,267,365,38,0,172,98
25,95,273,458,39,1,178,185
26,95,260,411,40,1,165,151
32,95,490,728,41,1,395,238
34,95,248,397,42,1,153,149
36,95,309,548,43,1,214,239
46,95,244,415,44,1,149,171
53,95,237,417,45,1,142,180
57,95,380,794,46,1,285,414
60,95,238,392,47,1,143,154
64,95,228,394,48,1,133,166
68,95,234,392,49,1,139,158
71,95,261,403,50,1,166,142
89,95,187,261,51,1,92,74
9,94,240,372,52,2,146,132
10,94,225,390,53,2,130,166
12,94,239,379,54,2,145,140
14,94,211,525,55,2,117,314
15,94,260,428,56,2,166,168
16,94,227,391,57,2,133,164
17,94,221,367,58,2,127,146
22,94,232,348,59,2,138,116
47,94,242,383,60,2,148,141
54,94,218,360,61,2,124,142
62,94,249,418,62,2,155,169
69,94,387,752,63,2,293,365
72,94,222,369,64,2,128,147
74,94,240,354,65,2,146,114
75,94,227,411,66,2,133,184
77,94,195,303,67,2,101,108
86,94,212,316,68,2,118,104
87,94,242,383,69,2,148,141
88,94,217,333,70,2,123,116
20,94,688,1331,71,3,594,643
23,94,421,718,72,3,327,297
28,94,816,1158,73,3,722,342
31,94,500,771,74,3,406,271
40,94,333,577,75,3,239,244
49,94,429,840,76,3,335,411
51,94,294,572,77,3,200,278
56,94,240,416,78,3,146,176
66,94,245,513,79,3,151,268
70,94,423,570,80,3,329,147
90,94,360,566,81,3,266,206
